,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
126,Rainbow-Fruit-Skewers-with-Yogurt-Fruit-Dip-1704777,,2,1,,900
127,The-Best-Cheesy-Vegan-Spread-1697397,,12,3,300.0,300
128,Wings-1687214,3000.0,9,4,14400.0,17400
129,Heart-Beet-Hummus-with-Kohlrabi-Sticks-1711923,,10,7,,4500
130,Make-Red-Salmon-Caviar-At-Home-_Video-Tutorial_-1712150,,3,4,,2400
131,Grilled-Jalapeno-Poppers-1689175,900.0,5,5,600.0,1500
132,Buffalo-Chicken-Dip-1694506,,8,4,,2700
133,Creamy-Garlic-Mushrooms-850155,,7,2,,1200
134,Deviled-Eggs-1700457,,7,12,,1800
135,Avocado-Hummus-1679043,,4,4,900.0,900
136,Chatelaine-1703670,,7,4,600.0,2400
137,Charred-Tomato-Salsa-1703496,600.0,10,2,600.0,1200
138,Tzatziki-_greek-yogurt-and-cucumber-sauce_-309867,,8,3,,1800
139,Mango-Avocado-Salsa-1693197,,9,2,600.0,600
140,Hummus-1606709,,5,2,,1200
141,Pineapple-and-Cucumber-Guacamole-_Guacamole-con-Pina-y-Pepino_-1707836,,10,5,1800.0,1800
142,Ceviche-in-Cucumber-Cups-1713267,,13,4,,4200
143,Shrimp-Ceviche-Stuffed-Avocados-1558756,,11,6,,1800
144,Chickpea-Hummus-1690801,,8,2,300.0,300
145,Super-Easy-Hummus-1711255,,8,4,,1500
146,Summery-Dill-Bean-Spread-1708869,,4,1,600.0,600
147,Herb-Butter-for-Grilling-1701460,,6,4,,900
148,Easy-Hummus-with-Tahini-1709601,,8,1,,1200
149,Crab-Rangoons-_LC-_-GF_-483050,,5,60,,1800
150,Quick-Marinated-Mushrooms-1710684,,13,4,,2100
151,Thai-Peanut-Hummus-Dip-_-Gluten-Free_-Vegan_-Healthy-1700492,,16,8,300.0,300
152,Pan-fried-Wonton-1699320,600.0,14,4,900.0,1500
153,Garlic-and-Herb-Butter-1627892,,5,4,300.0,300
154,Easy-Guacamole-1064455,,6,4,,900
155,Cashew-Walnut-Coconut-Butter-1697544,,4,7,,1200
156,Spinach-Dip-1684413,300.0,7,7,0.0,300
157,Brown-Sugar-_-Bacon-Puff-Twists-1687208,,5,18,,3600
158,Creamy-Cauliflower-Dip-1701462,,7,4,600.0,600
159,Grilled-Pineapple-Salsa-1690114,600.0,6,4,300.0,900
160,Caramelized-Onion-_-Bacon-Skillet-Dip-1705283,2400.0,10,6,900.0,3300
161,Fiesta-Ranch-Dip-1701288,,14,4,,2700
162,Bacon-cheeseburger-dip-297605,,7,4,,1260
163,Balsamic-Strawberry-Toasted-Crostini-with-Ricotta-_-Fresh-Basil-1685395,,8,18,,1800
164,Orange-Fruit-Dip-1689997,300.0,9,2,300.0,600
165,Easy-Stuffed-Mushrooms-1063743,,6,2,,2100
166,5-Ingredient-Slow-Cooker-Honey-Dijon-Chicken-Wings-1531318,10800.0,5,6,300.0,11100
167,Dill-Ranch-Vegetable-Dip-1694861,,9,4,,1500
168,Cheese-_-Prosciutto-Roulades-1698549,,7,4,,1200
169,The-Best-Homemade-Guacamole-1707445,,9,9,,1500
170,Quick-_n_-Yummy-Mushrooms-1695714,1200.0,7,4,,1200
171,Lima-Bean-Salsa-1701785,,7,4,,1800
172,Jalapeno-Cheese-Dip-1700159,,6,4,,2400
173,Red-Pepper-Hummus-1684478,900.0,10,4,600.0,1500
174,Savory-Mini-Cheese-Balls-1705033,0.0,9,4,1200.0,1200
175,Chili_-Lime_-_-Honey-Compound-Butter-1686169,,5,4,,1500
176,Herb-Butter-_Compound-butter_-1704147,,7,4,,1800
177,Melon_-Proscuitto-and-Mozzarella-Skewers-550507,,5,20,,900
178,Homemade-Hummus-1711016,,9,1,300.0,300
179,My-Buttery-Herb-Cheese-Spread-1712239,,10,2,600.0,600
180,Smokin_-Sweet-Chicken-Wings-with-Cherry-Barbecue-Glaze-1711587,,8,4,,2400
181,Sriracha-BBQ-Meatballs-1712705,,3,5,300.0,420
182,Next-to-Fat-Free-Skinny-Baked-Poppers-1702922,,9,12,,1800
183,Crab-Rangoon-Dip-1705239,,9,4,,2400
184,Garlic-Hummus-1682730,,6,4,,1500
185,Whipped-Feta-Dip-1633592,,7,1,,900
186,Caramelized-onion-dip-308832,,6,2,,3000
187,Mexican-Nachos-in-the-Oven-1536417,,12,4,,1500
188,Muhammara-_Red-Pepper-and-Walnut-Dip_-1710534,,11,2,300.0,300
189,Pesto-Cheese-Bombs-1599857,1500.0,5,16,900.0,2400
190,Chia-Seeds-Beetroot-_-Yogurt-Dip-1709319,5400.0,10,4,5400.0,10800
191,Creamy-Corn-Filled-Sweet-Peppers-768371,,7,22,1800.0,3600
192,Onion-Dip-1706045,1200.0,7,8,300.0,1500
