,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
155,Quick-Cream-of-Tomato-Soup-502330,,8,4,,2700
156,Potato-Leek-Soup-_gluten-free_-dairy-free_-vegan_-1679580,3600.0,14,6,900.0,4500
157,Creamy-Onion-Soup-1411565,,9,8,,2700
158,Perfect_-Uncluttered-Chicken-Stock-467197,,5,12,,2700
159,Slow-cooker-corn-chowder-310394,,6,4,,2400
160,Ramen-Noodle-Soup-Allrecipes,600.0,6,2,300.0,900
161,Black-Bean-Corn-Chowder-1263844,,11,4,,2700
162,Spicy-Harissa-Bean-Soup-1682762,,15,9,,3600
163,Highfield-Estates-Creamy-Mushroom-Soup-1699284,,13,8,,4200
164,Roasted-Peach-Soup-1267557,,4,4,,3600
165,Polish-Beet-Soup-1040907,,18,4,,6300
166,Chilled-Cucumber-Soup-With-Farm-Fresh-Herbs-590107,,11,3,,900
167,Spiced-Carrot-Soup-With-Lime-1689291,2400.0,15,5,,2400
168,Creamy-Coconut-Corn-Chowder-634429,900.0,10,2,300.0,1200
169,Luscious-Coconut-_-Rice-Noodle-Soup_-_Vegan_-Gluten-Free-Recipe_-679425,,14,4,,2100
170,Cheesy-Broccoli-Soup-1285929,900.0,7,4,600.0,1500
171,Hungarian-Chilled-Cherry-Soup-_Meggyleves_-441607,,6,4,,1500
172,5-Minute-Homemade_-ish_-Wonton-Soup-1027965,,5,1,,900
173,Southwest-Pulled-Pork-Soup-1262603,,15,4,,2400
174,Grandma-B_s-Bean-Soup-Allrecipes,36000.0,6,8,900.0,58500
175,Low-Sodium-Buttercup-Squash-Soup-with-Smoked-Almond-Butter-1702281,2400.0,16,8,3600.0,6000
176,30-Minute-Healthy-Green-Pea-Soup-1237399,1800.0,10,8,,1800
177,Ham-Cheddar-Chowder-_Gluten-free_-1342441,,13,8,,2100
178,Chicken-Potsticker-Soup-751032,600.0,3,4,120.0,720
179,Broccoli-No-Cheddar-Soup-1636079,,12,4,,3600
180,French-Onion-Soup-1405406,,7,4,,6300
181,Potato-Corn-Chowder-1433029,,8,5,,3600
182,Creamy-Cauliflower-Soup-593450,,8,5,,3300
183,Creamy-Roasted-Corn-Soup-Naturally-Ella-46347,,11,2,,3000
