,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
166,Broccoli-Cheese-and-Potato-Soup-1680207,,14,4,,3000
167,Freezer-Meals-Southwestern-Hamburger-Soup-1710611,7200.0,12,6,900.0,8100
168,Hearty-Tuscan-soup-1416718,,11,4,600.0,1800
169,Why-I-Love-Asparagus-Soup-1693642,600.0,8,4,600.0,1200
170,Cream-of-Mushroom-Soup-1529370,,12,4,,2100
171,Chicken-Soup-For-One-1083369,,9,1,,1800
172,Carrot_-Orange-_-Ginger-Soup-Recipe-For-Boosting-Your-Immune-System-1698341,,16,4,,2700
173,Easy-Pumpkin-Soup-1578822,1200.0,11,4,1800.0,3000
174,Slow-Cooker-Split-Pea-Soup-676860,,10,5,,2700
175,Cucumber-Soup-1710808,,9,4,,3300
176,Chicken-Cassoulet-Style-Soup-1693936,,6,6,1500.0,1500
177,Roasted-Pumpkin-And-Ginger-Soup-1707007,,8,4,,3300
178,Asian-Chicken-and-Corn-Soup-1704934,,11,6,,3600
179,Cheese-Tortellini-in-Light-Broth-1690316,,5,4,,1800
180,Very-Veggie-Quinoa-Chowder-1381079,,14,4,,2700
181,Austrian-Pancake-Soup-_vegan_-1703946,,12,2,,2100
182,Leek-_-Potato-Soup-1712503,,9,4,,3000
183,Easy-Tuscan-Bean-Soup-1704439,2100.0,17,5,900.0,3000
184,Avocado-Asparagus-Gazpacho-1696286,,17,4,600.0,600
185,Watermelon-Gazpacho-with-Sheep-Milk-Feta-and-Cilantro-1709707,,11,4,,1200
186,Matunuck-Oyster-Bar-Stew-1710499,2700.0,14,4,900.0,3600
187,Tomato-Basil-Parmesan-Soup-1701530,,14,4,,2400
188,Carrot-_-Corriander-Soup-_Vegan_-1611679,900.0,5,4,300.0,1200
189,Slow-Cooker-Sausage_-Kale_-and-Tortellini-Soup-1299189,14400.0,10,8,900.0,15300
190,Vegan-Roasted-Butternut-Squash-Soup-1640934,,7,4,,3300
191,Nacho-Cheese-Chicken-Chowder-1693931,,5,6,600.0,600
192,Healing-asian-soup-with-ginger-309537,,5,4,,1500
193,Lemon-Chicken-and-Orzo-Soup-1699176,,22,5,,4800
194,Vegan-Curried-Pumpkin-and-Cauliflower-Soup-with-Spinach-and-Almonds-_GF_-1690380,2100.0,12,4,600.0,2700
195,Chicken-Vegetable-Soup-1711886,1800.0,19,4,900.0,2700
196,Spicy-Thai-Curry-Noodle-Soup-1535894,,11,4,,3000
197,The-Most-Popular-Turkish-Soup-1701140,1500.0,10,4,300.0,1800
198,Cheese-Soup-in-French-1702720,,9,4,,3000
199,Pumpkin-_-White-Bean-Bisque-with-Manchego-Toasts-1709593,,13,4,,2700
200,Lentil-Spinach-Soup-1705837,,11,7,,3600
201,Amish-Cheeseburger-Soup-1700864,,15,10,,3300
202,Irish-Potato-Soup-1072388,,9,6,,5100
203,0_-of-the-calories_-Beet-soup-1684369,,7,4,,3000
204,Butternut-squash-apple-soup-345366,,6,4,,3900
205,Vegetable-Noodle-Miso-Soup-1688675,600.0,11,4,,1800
