,id,Barbecue,Game Day,Greek,Kid-Friendly,Main Dishes,Mediterranean,Moroccan,Spanish,Summer,Sunday Lunch
72,Mediterranean-Penne-And-Sausage-Recipezaar,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0
73,Greek-Tacos-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
74,Greek-Lasagna-Vegetarian-Food_com-63966,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
75,Greek-Pizza-Food_com-68005,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
76,Greek-Lamb-Chops-and-Mint-Yogurt-Sauce-Food_com-67774,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
77,Mediterranean-Pasta-With-Fire-Roasted-Tomatoes-Food_com-138443,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
78,Chicken-With-Tomato-And-Feta-Cheese-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
79,Greek-Style-Penne-Pasta-With-Lamb-and-Vegetables-Food_com-187380,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
80,Cod-With-Tomatoes_-Olives_-And-Capers-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
81,Pasta-With-Uncooked-Tomatoes_-Basil_-Capers_-Olives-and-Feta-Food_com-169814,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0,0.0
82,Mediterranean-Chicken-Breasts_-Homemade-Gourmet-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
83,Mediterranean-Chicken-Recipezaar_8,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
84,Mediterranean-Chicken-Breasts-With-Tomatoes-And-Olives-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
85,Baked-Mediterranean-Chicken-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
86,Greek-Lamb-With-Spinach-And-Orzo-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
87,Greek_style-Shrimp-Epicurious,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
88,Mediterranean-Pasta-With-Fire-Roasted-Tomatoes-Food_com-180514,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
89,Mediterranean-Roasted-Snapper-My-Recipes,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
90,Mediterranean-Penne-And-Sausage-My-Recipes,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0
91,Mediterranean-Kabobs-MyRecipes-242416,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
92,Mediterranean-Chicken-Bake-Food_com-165463,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
93,Mediterranean-Chickpeas-With-Vegetables-My-Recipes,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
94,Mediterranean-Pasta-With-Fire-Roasted-Tomatoes-Recipezaar_1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
95,Chicken-With-Olives-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
96,Grilled-Greek-Snapper-Over-Sauteed-Spinach-Recipezaar,1.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
97,Greek-Tacos-Recipezaar_1,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
98,Mediterranean-Chicken-With-Pepperoncini-And-Kalamatas-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
99,Salmon-With-Mediterranean-Salsa-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
100,Mediterranean-Onion-Tart-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
101,Spanakorizo-_A-Greek-Spinach-Risotto_-Food_com-114319,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
102,Mediterranean-Pasta-575948,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
103,Mediterranean-Tuna-And-Rice-Pie-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
104,Lamb-Skewers-_Greek_-Food_com-118120,1.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
105,Mediterranean-Chicken-With-Potatoes-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
106,Mediterranean-Chicken-Paella-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,1.0,0.0,0.0
107,Greek-Yogurt_honey-Braised-Lamb-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
108,Cod-With-Mediterranean-Salsa-Food_com-73371,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
109,Lamb-Chops-With-Yogurt_mint-Sauce-Epicurious,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
110,Red-Snapper-With-Tomato-And-Olives-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
111,Mediterranean-Risotto-_with-Other-Influences_-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
112,Mediterranean-Turkey-Rice-Bake_-Crock-Pot-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
113,Mediterranean-Chicken-Recipezaar_5,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
114,Greek-Chicken-Breasts-Food_com-66890,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
115,Greek-Style-Pizza-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
116,Greek-Chicken-Cutlets-Recipezaar,1.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
117,Mediterranean-Marinated-Shrimp-1155289,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
118,Greek-Cheeseburgers-1154439,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
119,Mediterranean-Rub-My-Recipes,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
120,Mediterranean-Chicken-And-Pasta-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
121,Kittencal_s-Greek-Lamb-And-Feta-Meatballs-_keftedakia_-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
122,Linguine-With-Fresh-Tomatoes_-Olives_-and-Feta-Cheese-Food_com-127642,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
123,Mediterranean-Pork-and-Orzo-Food_com-79094,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
124,Greek-Spiced-Baked-Shrimp-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
125,Greek-Chicken-With-Olives-And-Potatoes-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
126,Mediterranean-Chicken-Recipezaar_3,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
127,Greek-Pasta-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
128,Mediterranean-Fish-Casserole-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
129,Greek-Feta-Bows-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
130,Mediterranean-Pork-Chops-Food_com-172864,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
131,Mediterranean-Beef-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
132,Greek-Lamb-Pilaf-Food_com-64501,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
133,Slow-cooker-mediterranean-chicken-thigh-stew-316111,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
134,Mediterranean-Tuna_noodle-Casserole-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
135,Greek-Style-Pasta-With-Shrimp-And-Feta-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
136,Linguine-With-Tomatoes_-Olives_-Feta_-And-Parsley-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
137,Mediterranean-Baked-Cod-1157680,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
138,Mediterranean-Skillet-Cod-_South-Beach-Diet-Phase-1_-Food_com-134152,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
139,Greek-Style-Grilled-Lamb-Food_com-62847,1.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
140,Mediterranean-Meatloaf-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
141,Mediterranean-Pork-Stew-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
142,Mediterranean-Chicken-and-Chickpeas-1044424,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
143,Greek-Pasta-Recipezaar_4,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
144,Greek-Shrimp-With-Feta-Cheese-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
145,Mediterranean-Chicken-with-Soft-Polenta-1156565,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
146,Slow-Cooker-Mediterranean-Chicken-Stew-Food_com-150054,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
147,Packet-Chicken-Mediterranean-Style-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
148,Greek-Lamb-Turkey-Burgers-Recipezaar,1.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
149,Mediterranean-Chicken-With-Sun_dried-Tomatoes-And-Olives-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
150,Mediterranean-Style-Red-Snapper-Food_com-110142,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
151,Baked-Mediterranean-Tilapia-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
152,Mediterranean-Chicken-and-Grape-Skewers-Food_com-116114,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
153,Sarasota_s-Crockpot-Eggplant-Mediterranean-Food_com-98134,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
154,Greek-Chicken-Recipezaar_7,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
155,Mediterranean_style-Baked-Tilapia-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
156,Greek-Lasagna-Toss-with-Tomatoes_-Shrimp-and-Feta-1152043,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
157,Mediterranean-Pork-With-Orzo-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
158,Mediterranean-Chicken-Food-Network,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
159,Mediterranean-Beef-Toss-Food_com-79007,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
160,Greek-Pizza-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
161,Greek-Roasted-Tilapia-Fillets-_Low-Fat_-Food_com-114205,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
162,Mediterranean-Sea-Bass-With-Fennel-And-Pernod-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
163,Easy-Lamb-Chops-With-Yogurt-Mint-Sauce-Food_com-94445,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
164,Linda_s-Greek-Pasta-With-Shrimp-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
165,Mediterranean-Fish-Filets-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
166,Mediterranean-Pasta-Recipezaar_1,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
167,Turkey-Burgers-With-Tomato-Jam-Olives-And-Feta-Recipezaar,1.0,0.0,0.0,1.0,1,1,0.0,0.0,1.0,0.0
168,Mediterranean-Chicken-Thighs-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
169,Mediterranean-Grilled-Fish-Recipezaar,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
170,Mediterranean-Lamb-Shanks-With-Creamy-Polenta-Food_com-141482,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
171,Mediterranean-Pork-Kabobs-Recipezaar,1.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
172,Greek_style-Penne-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
173,Grecian-Meatloaf-Gyros-Food_com-153197,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
174,Greek-Chicken-Pita-Folds-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
175,Chicken-With-Tomatoes-And-Olives-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
176,Mediterranean-Skillet-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
177,Greek-Spiced-Baked-Shrimp-Food_com-166140,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
178,Mediterranean-Chicken-Recipezaar_15,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
179,Greek-Feta-Chicken-MyRecipes-205269,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
180,Greek-Pizza-With-Chicken-And-Artichokes-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
181,Greek-Lamb-Kabobs-Food_com-86408,1.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
182,Greek_style-Chicken-And-Artichokes-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
183,Coyote-Grill_s-Mediterranean-Pasta-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
184,Mediterranean-Fettuccine-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
185,Olive-Garden-Mediterranean-Garlic-Shrimp-_Official-Recipe_-Food_com-165762,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
186,Greek-Stuffed-Shells-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
187,Veronica_s-Mediterranean-Bulgur-And-Lentil-Stew-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
188,Sauteed-Chicken-With-Tomatoes_-Olives_-and-Feta-Food_com-115348,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
189,Greek-Roast-Lamb-Food_com-74151,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,1.0
190,Greek-Rice-and-Shrimp-Bake-With-Feta-Crumb-Topping-Food_com-72238,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
191,Heart-Healthy-Greek_inspired-Pasta-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
192,Greek-Tomato-Penne-Pasta-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
193,Mediterranean-market-chicken_-sundried-tomato_-and-potato-pizza-300876,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
194,Mediterranean-Vegetable-Pasta-Sauce-_oamc_-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
195,Mediterranean-White-Fish-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
196,Mediterranean-Lamb-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
197,Mediterranean-Chicken-Food_com-175096,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
198,Mediterranean-Swordfish-With-Tomatoes-And-Olives-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
199,Mediterranean-Pasta-with-Zucchini-MyRecipes-218462,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
200,Lamb-Tagine-With-Green-Olives-And-Lemon-Recipezaar,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0
201,Greek-Style-Baked-Pork-Chops-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
202,Greek-Fish-Fillets-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
203,Easy-Mediterranean-Chicken-Food_com-113141,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
204,Greek-Orzo-Bake-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
205,Greek-Feta-And-Tomato-Pasta-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
206,Mediterranean-Style-Chicken-Breast-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
207,Mediterranean-Shrimp-And-Linguine-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
208,Greek-Ziti-With-Lamb-Ragu-Food_com-293062,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
209,Lamb_-Olive-And-Haloumi-Pizza-Recipezaar,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0
210,Baked-Greek_style-Omelette-_gluten_free_-Recipezaar,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0
