,id,Barbecue,Breads,French,Greek,Kid-Friendly,Main Dishes,Mediterranean,Moroccan,Spanish,Summer,Sunday Lunch,Turkish
64,Mediterranean-Salmon-Allrecipes,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
65,Greek-Chicken-with-Olives_-Feta-and-Tomatoes-1019689,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,1.0,0.0,0.0
66,Vegetarian-greek-lentil-casserole-with-bell-peppers-and-feta-336068,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0
67,Greek-Lamb-Tray-Bake-1618585,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0
68,Greek-Tacos-1087978,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
69,One-Pan-Gluten-Free-Mediterranean-Chicken-1623936,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
70,Lamb-Sausage-Patties-with-Fresh-Mint_-Feta_-and-Garlic-1690065,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
71,Greek-Chicken-Bowl-with-Watermelon-and-Feta-1689732,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,1.0,0.0,0.0
72,Greek-Style-Mahi-Mahi-Savour-the-Senses-58284,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
73,Greek-Fish-Florentine-490494,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
74,Greek_style-Penne-With-Fresh-Tomatoes_-Feta_-And-Dill-Epicurious,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,1.0,0.0,0.0
75,Mediterranean-Spiced-Salmon-and-Vegetable-Quinoa-1542616,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
76,Lamb-meatballs-333990,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0
77,Mediterranean-Mozza-Chicken-1581966,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
78,Shannon-_rumblytumbly_com_-1638910,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
79,Greek-Chicken-Allrecipes_1,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
80,Mediterranean-Chicken-Kabobs-1613869,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
81,Mediterranean-Flatbread-972632,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
82,Greek-Spinach-Pie-1069251,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
