,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
163,Easy-Lamb-Chops-With-Yogurt-Mint-Sauce-Food_com-94445,1200.0,8,4,900.0,2100
164,Linda_s-Greek-Pasta-With-Shrimp-Recipezaar,600.0,12,7,1200.0,1800
165,Mediterranean-Fish-Filets-Recipezaar,1500.0,11,2,1200.0,2700
166,Mediterranean-Pasta-Recipezaar_1,600.0,10,4,900.0,1500
167,Turkey-Burgers-With-Tomato-Jam-Olives-And-Feta-Recipezaar,600.0,11,4,900.0,1500
168,Mediterranean-Chicken-Thighs-Recipezaar,4500.0,13,4,900.0,5400
169,Mediterranean-Grilled-Fish-Recipezaar,600.0,8,4,300.0,900
170,Mediterranean-Lamb-Shanks-With-Creamy-Polenta-Food_com-141482,,16,6,1200.0,9600
171,Mediterranean-Pork-Kabobs-Recipezaar,900.0,9,4,900.0,1800
172,Greek_style-Penne-Recipezaar,2400.0,13,4,2700.0,5100
173,Grecian-Meatloaf-Gyros-Food_com-153197,5400.0,17,8,1200.0,6600
174,Greek-Chicken-Pita-Folds-Recipezaar,21600.0,10,4,900.0,22500
175,Chicken-With-Tomatoes-And-Olives-Recipezaar,1200.0,11,4,1200.0,2400
176,Mediterranean-Skillet-Recipezaar,2700.0,15,2,1200.0,3900
177,Greek-Spiced-Baked-Shrimp-Food_com-166140,2400.0,12,4,900.0,3300
178,Mediterranean-Chicken-Recipezaar_15,2400.0,13,3,900.0,3300
179,Greek-Feta-Chicken-MyRecipes-205269,,10,4,,3300
180,Greek-Pizza-With-Chicken-And-Artichokes-Recipezaar,300.0,10,4,900.0,1200
181,Greek-Lamb-Kabobs-Food_com-86408,600.0,11,4,1500.0,2100
182,Greek_style-Chicken-And-Artichokes-Recipezaar,900.0,11,4,1200.0,2100
183,Coyote-Grill_s-Mediterranean-Pasta-Recipezaar,900.0,9,4,600.0,1500
184,Mediterranean-Fettuccine-Recipezaar,1800.0,11,9,1800.0,3600
185,Olive-Garden-Mediterranean-Garlic-Shrimp-_Official-Recipe_-Food_com-165762,,13,4,600.0,1200
186,Greek-Stuffed-Shells-Recipezaar,2100.0,10,4,1200.0,3300
187,Veronica_s-Mediterranean-Bulgur-And-Lentil-Stew-Recipezaar,1800.0,8,1,900.0,2700
188,Sauteed-Chicken-With-Tomatoes_-Olives_-and-Feta-Food_com-115348,900.0,9,6,1800.0,2700
189,Greek-Roast-Lamb-Food_com-74151,,8,8,900.0,8100
190,Greek-Rice-and-Shrimp-Bake-With-Feta-Crumb-Topping-Food_com-72238,1800.0,16,4,1800.0,3600
191,Heart-Healthy-Greek_inspired-Pasta-Recipezaar,600.0,9,6,600.0,1200
192,Greek-Tomato-Penne-Pasta-Recipezaar,300.0,9,5,900.0,1200
193,Mediterranean-market-chicken_-sundried-tomato_-and-potato-pizza-300876,1800.0,10,5,900.0,2700
194,Mediterranean-Vegetable-Pasta-Sauce-_oamc_-Recipezaar,1800.0,10,4,900.0,2700
195,Mediterranean-White-Fish-Recipezaar,1800.0,10,4,900.0,2700
196,Mediterranean-Lamb-Recipezaar,10800.0,11,7,900.0,11700
197,Mediterranean-Chicken-Food_com-175096,1200.0,10,5,2400.0,3600
198,Mediterranean-Swordfish-With-Tomatoes-And-Olives-Recipezaar,900.0,10,5,900.0,1800
199,Mediterranean-Pasta-with-Zucchini-MyRecipes-218462,,5,4,,780
200,Lamb-Tagine-With-Green-Olives-And-Lemon-Recipezaar,7200.0,21,12,2100.0,9300
201,Greek-Style-Baked-Pork-Chops-Recipezaar,,12,4,1200.0,2040
202,Greek-Fish-Fillets-Recipezaar,1200.0,9,5,1200.0,2400
