,id,rating,recipeName,sourceDisplayName
33,Whole-30-California-Avocado-Sweet-Potato-Hash-1593576,4,Whole 30 California Avocado Sweet Potato Hash,Dine & Dish
34,Brioche-French-Toast-1065036,4,Brioche French Toast,Southern Kissed
35,Blueberry-Oatmeal-Breakfast-Bars-1701314,4,Blueberry Oatmeal Breakfast Bars,The Glowing Fridge
36,Chocolate-Peanut-Butter-Waffles-1708961,4,Chocolate Peanut Butter Waffles,French Press
37,Perfect-Pancakes-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41350,5,Perfect Pancakes,The Pioneer Woman
38,Savory-Breakfast-Cookies-_low-carb_-1528409,4,Savory Breakfast Cookies (low carb),My Life Cookbook
39,Zoodles-and-Eggs-1685332,4,Zoodles and Eggs,Balancing Paleo
40,Eggless-Waffles-1695426,4,Eggless Waffles,Sophie in the Kitchen
41,Berry-No-Cook-Overnight-Oatmeal-1098051,4,Berry No Cook Overnight Oatmeal,Just 2 Sisters
42,Simple-Fluffy-Sour-Cream-Pancakes-1091293,4,Simple Fluffy Sour Cream Pancakes,Her Cup Of Joy
43,Bacon-_-Sweet-Potato-Hash-1686840,4,Bacon + Sweet Potato Hash,The Whole Smiths
44,Scrambled-Egg-Whites-with-Steamed-Sweet-Potato-1690024,3,Scrambled Egg Whites with Steamed Sweet Potato,Beachbody
45,Basic-Crepes-1686240,3,Basic Crepes,Pillsbury.com
46,Chocolate-Chip-Pancakes-511341,5,Chocolate Chip Pancakes,Food Republic
47,Blueberry-Jam-1643229,4,Blueberry Jam,"Recipes, Food and Cooking"
48,Cottage-Cheese-Pancakes-1639931,3,Cottage Cheese Pancakes,Bariatric Eating
49,How-to-Scramble-Eggs-1569802,4,How to Scramble Eggs,Add a Pinch
50,Cheesy-Baked-Egg-in-Toast-1242287,4,Cheesy Baked Egg in Toast,Of The Hearth
51,Breakfast-Sticks-1096708,4,Breakfast Sticks,Buttoni's Low Carb Recipes
52,Strawberries-_-Cream-Oatmeal-1640883,4,Strawberries & Cream Oatmeal,Tried and Tasty
53,Eggnog-french-toast-352366,5,Eggnog French Toast,Skinnytaste
54,_Double-Stuf-OREO-Pancakes_-1091311,4,~’Double Stuf’ OREO Pancakes!,Oh Bite It
55,Southern-Fried-Breakfast-Potatoes-1705203,4,Southern Fried Breakfast Potatoes,Loaves and Dishes
56,Caramelized-Peach-Quinoa-Breakfast-Bowl-1684482,4,Caramelized Peach Quinoa Breakfast Bowl,The Lean Green Bean
57,Easy-Overnight-Maple-_-Brown-Sugar-Oatmeal-1705064,3,Easy Overnight Maple & Brown Sugar Oatmeal,Southern Mom Loves
58,Strawberry-Stuffed-French-Toast-1613317,4,Strawberry Stuffed French Toast,Nobiggie
59,Make-Ahead-Fruit-_-Yogurt-Breakfast-Parfaits-475395,4,Make-Ahead Fruit & Yogurt Breakfast Parfaits,Iowa Girl Eats
60,Egg-in-a-Basket-Breakfast-Burger-1713007,3,Egg in a Basket Breakfast Burger,Udi's Gluten Free
61,Make-Ahead-Egg-Bake-1655783,3,Make-Ahead Egg Bake,Kraft
62,Camper_s-Breakfast-Hash-1597103,4,Camper's Breakfast Hash,TheMountainKitchen
63,Eggs-In-Clouds-1557666,3,Eggs In Clouds,Blue Apron Blog
64,Cream-Cheese-Stuffed-French-Toast-With-Blueberry-Sauce-1708325,4,Cream Cheese Stuffed French Toast With Blueberry Sauce,Kitchen Dreaming
65,Cinnamon-toast-french-toast-305359,5,Cinnamon Toast French Toast,Smitten Kitchen
66,Steak-and-Egg-Breakfast-Tacos-1687037,4,Steak and Egg Breakfast Tacos,Honey And Birch
67,Snickerdoodle-Pancakes-1641010,3,Snickerdoodle Pancakes,WEDO Gluten Free
68,Oven-Baked-Bacon-1529932,4,Oven Baked Bacon,Butter With A Side Of Bread
69,The-perfect-soft-boiled-egg-307984,5,The Perfect Soft-Boiled Egg,The Kitchn
70,Perfect-hard-boiled-eggs-every-time-352315,5,Perfect Hard Boiled Eggs Every Time,Skinnytaste
71,Basic-Crepe-1040345,4,Basic Crepe,The Foodie Affair
72,PUMPKIN-SPICE-PANCAKES-1690394,4,PUMPKIN SPICE PANCAKES,Enjoy cooking
