,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
86,Watermelon-Salad-with-Feta-and-Jalapenos-1207275,,7,8,1200.0,1200
87,Meyer-Lemon-Potato-Salad-1690518,,6,4,,2400
88,Lebanese-Tomato-Salad-1704577,,8,4,,1800
89,Skinny-Classic-Coleslaw-1629030,,13,10,900.0,900
90,Keto-Apple-Slaw-1706894,,9,4,600.0,600
91,Beetroot-_-Lentil-Salad-1273135,120.0,9,4,180.0,300
92,Garlic-Scape-Green-Goddess-Dressing-1708509,,9,4,,1200
93,Raw-Broccoli-Salad-629728,,7,2,,3300
94,Colorful-Broccoli-Salad-1698177,,7,12,,1200
95,Blackberry-Spinach-Salad-With-Light-Balsamic-Vinaigrette-1695473,,13,2,900.0,900
96,Tuna-and-Potato-Salad-with-Capers-1697862,900.0,8,8,600.0,1500
97,Classic-Caesar-Dressing-1615870,,8,4,,2700
98,Asian-Salad-Dressing-1660849,,7,4,,900
99,Super-Summer-Detox-Salad-1175573,,10,5,,1800
100,Cantaloupe-Prosciutto-Mozzarella-Salad-1641626,,11,6,900.0,900
101,Healthy-Chicken-Cobb-Salad-1713326,,14,4,1200.0,1200
102,Bruschetta-Panzanella-Salad-1709784,300.0,10,4,600.0,900
103,Greek-Salad-1077031,,15,4,,1200
104,Ranch-Tomato-Cucumber-Salad-1575665,,5,4,600.0,600
105,Mexican-Salad-with-Cabbage-1696685,,6,4,,900
106,EASY-COLE-SLAW-969039,,7,4,,1200
107,Green-Bean-And-Red-Potato-Salad-1614085,,9,4,,2100
108,Quinoa-Salad-with-Red-Cabbage-1690512,,13,4,,2100
109,Cucumber-Avocado-Red-Grape-Salad-1708436,,10,2,,900
110,Creamy-Cobb-Potato-Salad-1710070,,17,8,,3900
111,Carrot-and-Spiced-Chickpea-Salad-1709300,,16,6,900.0,2700
112,Catalina-Salad-1600296,,7,9,600.0,600
113,Cucumber-Salad-Simply-Recipes-42661,,5,3,,1500
114,Lambs-Lettuce-Salad-1685641,,7,4,,1200
115,Roasted-beet-and-red-onion-salad-314481,,7,8,,3600
116,Aubergine_-Sun-Dried-Tomato-and-Pine-Nut-Salad-857756,,7,2,,2100
117,Loaded-spinach-salad-333902,,6,1,,1200
118,Homemade-Russian-Dressing-1062142,,9,2,300.0,300
119,Simple-Kale-Salad-with-Lemon-Vinaigrette-1704387,,9,5,900.0,900
120,Grilled-Butternut-Squash-Salad-1704483,,5,2,,1800
121,Spiced-Chickpea-Cucumber-Salad-1696601,600.0,14,3,600.0,1200
122,10-Minute-Tomato-and-Walnut-Salad-1681561,,8,4,600.0,600
123,Fritos-Corn-Salad-1690154,,12,4,,1800
124,Pina-Colada-Fruit-Salad-1713260,,7,4,900.0,900
125,Carrot_-Cabbage_-and-Chicken-Salad-1704474,,7,4,,2100
126,The-BEST-Balsamic-Vinaigrette-1035454,,7,4,,600
127,Corn-and-Feta-Salad-1617187,,6,4,,1500
128,Caprese-Pasta-Salad-1695158,,10,4,,900
129,Asian-Chopped-Chicken-Salad-1707656,,19,6,1200.0,1200
130,Lemon-Dijon-Vinaigrette-1600326,,8,1,,900
131,Summer-Pasta-Salad-Platter-With-Sweet-Tea-Dressing-1710426,300.0,22,4,300.0,600
132,Delicata-Squash-Salad-with-Balsamic-Oregano-Drizzle-1455336,,7,5,,2400
133,Homemade-Coleslaw-_-Non-Sweet-_-1707640,,8,4,600.0,600
134,Cottage-Cheese-Caprese-Salad-1684636,,6,1,300.0,300
135,Avocado-and-Grilled-Chicken-Chopped-Salad-with-Skinny-Chipotle-Lime-Ranch-1697919,,19,4,,1500
136,Cole-Slaw-1707810,,12,9,,2100
137,Fig-Salad-with-Honey-Lemon-Dressing-1699329,,10,2,900.0,900
138,Salad-Of-Calendula-Flowers_-Radish-And-Grapefruit-1705573,,11,4,,900
139,Green-Bean-Salad-with-a-Balsamic-Glaze-for-Memorial-Day-BBQ-1693644,0.0,6,7,0.0,900
140,Roasted-Red-Pepper-Vinaigrette-1705780,1500.0,8,7,300.0,1800
141,Go-to-Vinaigrette-1050676,,6,4,300.0,300
142,Roasted-Potato_-Endive_-and-Arugula-Salad-1709712,,18,5,,3300
143,Fiesta-Bean-Salad-1571977,,12,4,,1200
144,Low-Fat-BUT-Creamy-Coleslaw-1697329,,14,4,600.0,600
145,Red-beet-salad-352229,,7,3,,3900
146,Arugula-Salad-with-Peaches-and-Mozzarella-1699330,,5,4,600.0,600
147,Bocconcini-and-Tomato-Salad-1711251,,12,4,9000.0,9000
148,Bacon-Ranch-Pasta-Salad-1684764,,10,10,,3600
149,Caesar-Salad-1279042,,11,4,,900
150,Italian-Chopped-Salad-1711892,,20,4,,1200
151,Strawberry-Salad-Dressing-1626576,180.0,5,3,120.0,300
152,Zucchini-Salad-1709501,,11,4,,1500
153,Spiralized-Beet-Salad-1696779,,13,5,1200.0,1200
154,Heirloom-Tomato-Salad-with-Aged-Goat-Cheese-1708314,300.0,10,4,900.0,1200
155,Easy-Fresh-Tomato-Salad-1689035,,7,4,,1200
156,Arugula-and-Shaved-Zucchini-Salad-1693288,,6,4,,900
157,Homemade-Ranch-Dressing-1520535,,11,12,600.0,600
158,Fennel-and-Celery-Salad-1629433,,7,5,,1200
159,Aunt-Bee_s-Shrimp-and-Pasta-Salad-1697527,,13,4,1200.0,1200
160,Antipasto-Salad-1709407,,16,4,,3000
161,Kale-Salad-with-Chicken-1701507,,5,1,300.0,300
162,Caprese-Heirloom-Tomato-Pasta-Salad-1707752,,9,4,,1500
163,Berry_-Beet-_-Orange-Salad-On-Baby-Greens-1544340,,7,4,,1200
