,id,ingredient_list,cuisine,ingredient_string
4503,VELVEETA-Italian-Sausage-Bake-1080703,"[penne pasta, italian sausage, zucchini, red pepper, pizza sauce, Velveeta, Kraft Grated Parmesan Cheese]",Italian,penne pasta italian sausage zucchini red pepper pizza sauce velveeta kraft grated parmesan cheese
4504,Baked-Penne-with-Italian-Sausage-472692,"[sausage casings, ricotta cheese, extra-virgin olive oil, mozzarella cheese, parmesan cheese, pasta, marinara sauce, fresh basil]",Italian,sausage casing ricotta cheese extra virgin olive oil mozzarella cheese parmesan cheese pasta marinara sauce fresh basil
4505,Shrimp-Scampi-Pizza-1135211,"[olive oil, unsalted butter, garlic, white wine, lemon zest, shrimp, pizza doughs, shredded mozzarella cheese, grated parmesan cheese, italian seasoning]",Italian,olive oil unsalted butter garlic white wine lemon zest shrimp pizza dough shredded mozzarella cheese grated parmesan cheese italian seasoning
4506,Linguine-with-Crab-682493,"[linguine, lump crab meat, butter, extra-virgin olive oil, garlic, dry white wine, plum tomatoes, scallions, ground black pepper, salt, fresh parsley]",Italian,linguine lump crab meat butter extra virgin olive oil garlic dry white wine plum tomato scallion ground black pepper salt fresh parsley
4507,Asparagus-Garlic-Scape-Pesto-Spaghetti-440141,"[asparagus, whole wheat spaghetti noodles, scape pesto, tomatoes, pepper, sea salt]",Italian,asparagus whole wheat spaghetti noodle scape pesto tomato pepper sea salt
4508,Fettuccine-alla-Carbonara-494667,"[extra-virgin olive oil, bacon, cracked black pepper, parmesan cheese, eggs, egg yolks, fettucine, salt]",Italian,extra virgin olive oil bacon cracked black pepper parmesan cheese egg egg yolk fettucine salt
4509,Quick-Italian-Skillet-Dinner-1201074,"[italian sausage, chopped green bell pepper, onions, Red Gold® diced tomatoes, vegetable juice, instant rice, shredded mozzarella cheese]",Italian,italian sausage chopped green bell pepper onion red gold diced tomato vegetable juice instant rice shredded mozzarella cheese
4510,Chicken-piccata-368539,"[boneless skinless chicken breasts, eggs, fresh lemon juice, all-purpose flour, pepper, butter, chicken stock]",Italian,boneless skinless chicken breast egg fresh lemon juice all purpose flour pepper butter chicken stock
4511,Pappardelle-with-Italian-Beef-Ragu-1567222,"[boneless beef roast, extra-virgin olive oil, fresh rosemary, purple onion, garlic cloves, carrots, celery sticks, Chianti, plum tomatoes, salt, freshly ground black pepper, dried pappardelle, unsalted butter, grated parmesan cheese]",Italian,boneless beef roast extra virgin olive oil fresh rosemary purple onion garlic clove carrot celery stick chianti plum tomato salt freshly ground black pepper dried pappardelle unsalted butter grated parmesan cheese
4512,Sicilian-style-Grilled-Tuna-Steaks-1640065,"[tuna steaks, extra-virgin olive oil, kosher salt, freshly ground black pepper, garlic, fresh tomatoes, dry white wine, green olives, capers, lemon zest, fresh lemon juice, chopped fresh thyme, fresh parsley, salt]",Italian,tuna steak extra virgin olive oil kosher salt freshly ground black pepper garlic fresh tomato dry white wine green olive caper lemon zest fresh lemon juice chopped fresh thyme fresh parsley salt
4513,New-York-Italian-Pizza-Dough-AllRecipes,"[warm water, salt, bread flour, active dry yeast, olive oil]",Italian,warm water salt bread flour active dry yeast olive oil
4514,Asparagus-Lemon-Risotto-1630081,"[asparagus, unsalted butter, extra-virgin olive oil, diced onions, arborio rice, dry white wine, vegetable stock, grated parmesan cheese, lemon, salt, pepper, lemon zest]",Italian,asparagus unsalted butter extra virgin olive oil diced onion arborio rice dry white wine vegetable stock grated parmesan cheese lemon salt pepper lemon zest
4515,Easy-Cheesy-Lasagna-MyRecipes-211589,"[ground beef, pasta sauce, egg noodles, shredded mozzarella cheese, cottage cheese, grated parmesan cheese]",Italian,ground beef pasta sauce egg noodle shredded mozzarella cheese cottage cheese grated parmesan cheese
4516,Baked-Pesto-Chicken-Parmesan-519243,"[boneless skinless chicken thighs, pepper, salt, pesto, marinara sauce, fresh mozzarella cheese]",Italian,boneless skinless chicken thigh pepper salt pesto marinara sauce fresh mozzarella cheese
4517,Classic-Beef-Meatballs-Martha-Stewart-239070,"[olive oil, lean ground beef, ricotta cheese, large eggs, dry bread crumbs, flat leaf parsley, fresh oregano, coarse salt, crushed red pepper flakes, ground fennel, tomato sauce]",Italian,olive oil lean ground beef ricotta cheese large egg dry bread crumb flat leaf parsley fresh oregano coarse salt crushed red pepper flake ground fennel tomato sauce
4518,Ultimate-Cheese-Pizza-My-Recipes,"[tomatoes, minced garlic, prebaked pizza crusts, cheese]",Italian,tomato minced garlic prebaked pizza crust cheese
4519,Quick-_-Easy-Spaghetti-Bolognese-1026647,"[olive oil, onions, ground beef, tomatoes, garlic, dried oregano, fresh parsley, salt, pepper, spaghetti, pecorino romano cheese]",Italian,olive oil onion ground beef tomato garlic dried oregano fresh parsley salt pepper spaghetti pecorino romano cheese
4520,Spicy-Marinara-Penne-Pasta-1221648,"[penne pasta, crushed tomatoes, shallots, garlic cloves, red pepper flakes, parmesan cheese, italian seasoning, olive oil, salt]",Italian,penne pasta crushed tomato shallot garlic clove red pepper flake parmesan cheese italian seasoning olive oil salt
4521,Penne-with-Sausage-and-Spicy-Cream-Tomato-Sauce-1575444,"[penne pasta, olive oil, onions, garlic, rolls, tomato sauce, diced tomatoes, hot red pepper flakes, salt, cracked black pepper, heavy cream, unsalted butter, fresh basil leaves, grated parmesan cheese]",Italian,penne pasta olive oil onion garlic roll tomato sauce diced tomato hot red pepper flake salt cracked black pepper heavy cream unsalted butter fresh basil leaf grated parmesan cheese
4522,Quick-Pizza-Dough-1064416,"[bread flour, active dry yeast, sea salt, extra-virgin olive oil, warm water, cornmeal]",Italian,bread flour active dry yeast sea salt extra virgin olive oil warm water cornmeal
4523,Stuffed-shells-308656,"[lemon, extra-virgin olive oil, crushed red pepper flakes, fine sea salt, garlic, tomatoes, ricotta cheese, eggs, mozzarella cheese, chives, pasta shells]",Italian,lemon extra virgin olive oil crushed red pepper flake fine sea salt garlic tomato ricotta cheese egg mozzarella cheese chive pasta shell
4524,Mushroom-and-leek-risotto-307949,"[dried mushrooms, unsalted butter, leeks, shallots, fresh mushrooms, fresh thyme leaves, ground black pepper, salt, white arborio rice, dry white wine, liquid, parmesan cheese]",Italian,dried mushroom unsalted butter leek shallot fresh mushroom fresh thyme leaf ground black pepper salt white arborio rice dry white wine liquid parmesan cheese
4525,Crock-pot-chicken-cacciatore-352435,"[chicken thighs, crushed tomatoes, red bell pepper, sliced, green bell pepper, sliced, onions, dried oregano, bay leaf, salt, pepper, herbs]",Italian,chicken thigh crushed tomato red bell pepper sliced green bell pepper sliced onion dried oregano bay leaf salt pepper herb
4526,Spaghetti-Carbonara-Martha-Stewart,"[spaghetti, bacon, freshly ground pepper, coarse salt, large eggs, grated parmesan cheese, half & half]",Italian,spaghetti bacon freshly ground pepper coarse salt large egg grated parmesan cheese half half
4527,Italian-Fried-Chicken-1114011,"[chicken legs, oregano, thyme, salt, rosemary, garlic, olive oil, water]",Italian,chicken leg oregano thyme salt rosemary garlic olive oil water
4528,Lobster-diavolo-327815,"[roma tomatoes, olive oil, garlic, red pepper flakes, salt, lobster, spaghetti, chopped fresh mint]",Italian,rom tomato olive oil garlic red pepper flake salt lobster spaghetti chopped fresh mint
4529,Chicken-_-linguine-in-creamy-tomato-sauce-300090,"[vegetable oil, boneless skinless chicken breast halves, ragu old world style pasta sauc, water, linguine, whipping heavy cream, fresh basil leaves]",Italian,vegetable oil boneless skinless chicken breast half ragu old world style pasta sauc water linguine whipping heavy cream fresh basil leaf
