,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
126,Matcha-_Green-Tea_-Banana-Ice-Cream-1689004,,3,2,,1200
127,Easy-Chocolate-Cake-1677701,,7,4,,1800
128,Strawberry-Shortcake-Ice-Cream-Bars-1702145,,4,4,,1500
129,Vanilla-Almond-Ice-Cream-with-Cherries-and-Pistachios-1708773,,9,4,,24300
130,Skinny-Single-Serving-Chocolate-Chip-Mug-Cake-1620996,,10,12,,300
131,Pineapple-Upside-Down-Cake-1712294,,10,4,,3000
132,Lemon-Mousse-Dessert-Cups-1684897,,7,24,600.0,600
133,Unicorn-Ice-Cream-1709937,,4,4,,1800
134,Healthy-Chunky-Monkey-Ice-Cream-_21-Day-Fix-Approved__-1628257,14400.0,5,4,300.0,14700
135,Peanut-Butter-Layered-Dessert-1710634,1500.0,14,14,900.0,2400
136,Strawberry-Conserve-1708496,,3,4,,3600
137,Healthy-Reeses-Quinoa-Crispy-Treats-847287,7200.0,5,6,300.0,7500
138,Filipino-Sticky-Rice-_Vegan_-Gluten-Free_-1709488,,7,4,,6300
139,Traditional-Angel-Food-Cake-1697141,2700.0,18,12,1200.0,9000
140,Strawberry-Cheesecake-Popsicles-1682062,,7,6,1200.0,1200
141,5-Ingredient-Salted-Caramel-Ice-Cream-_Vegan_-1708785,,5,4,,2400
142,Crazy-Good-Chocolate-Fudge-Frosting-1707333,,7,10,,1800
143,Diana-Henry_s-chocolate-_-olive-oil-cake-1705749,,8,8,,4200
144,Easy-Yellow-Sheet-Cake-1695288,1500.0,13,12,600.0,2100
145,Smores-Pudding-Cups-1712422,,6,10,,1800
146,No-Bake-Peanut-Butter-Pie-1697208,,6,16,,2400
147,Chocolate-Dulce-de-Leche-Crescents-768377,,5,8,600.0,1800
148,5-Ingredient-No-Bake-Peanut-Butter-Corn-Flake-Cookies-_Vegan_-1708018,,7,4,,2100
149,5-Ingredient-Layered-Mango-Cheesecake-Parfaits-1694275,,5,4,,1500
150,Almond-Cake-1704240,,8,4,,2700
151,4th-of-July-Cake-Roll-1710630,900.0,18,11,1800.0,2700
152,Strawberry-Jello-Pie-_SundaySupper-1707149,,6,8,300.0,300
153,Creamy-Pumpkin-Spice-Chia-Pudding-1682772,,6,2,1800.0,1800
154,A-Scrumptious-Strawberry-Crisp-1703421,,10,8,,4500
155,Sour-Cherry-Custard-Tart-1712005,1800.0,10,4,2400.0,4200
156,Chocolate-Chia-Pudding-1682911,,5,2,300.0,300
157,Rhubarb-And-Wild-Peach-Galette-1710888,,8,8,2400.0,2400
158,Sponge-Cake-could-Not-Be-Easier_-1704373,,2,4,,1500
159,Puff-Pastry-Plum-Galette-1679583,1800.0,5,4,600.0,2400
160,Fourth-of-July-Berry-Dessert-Pizza-1702641,,7,4,,2400
161,Almond-Joy-Brownie-Bites-1705072,,5,32,,3300
162,Lemon-Panna-Cotta-1704325,,6,5,,2700
163,Orange-Creamsicle-Cakes-In-Jars-1702211,,7,4,,3000
164,Chocolate-Crackles-1713189,,6,12,,900
165,Boston-Cream-Pie-Cookie-Cups-1704772,,7,4,,3000
166,Strawberry-Lemon-Ice-Cream-Sandwich-Cake-1705619,,7,4,,1500
167,Slow-Cooker-Chocolate-Pudding-Cake-1704854,7200.0,4,8,600.0,7800
168,Homemade-Meringue_-1643058,,4,4,,6000
169,Lemon-Ginger-Fruit-Gummies-1690274,600.0,4,18,300.0,900
