id,rating,bitter,meaty,piquant,salty,sour,sweet,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds,ingredient_list,course
Almond-Flour-Pancakes-1582168,3,0.166666666667,0.833333333333,0.0,0.166666666667,0.0,0.166666666667,600.0,4,4,180.0,780,"[almond flour, eggs, vanilla extract, coconut oil]",Breakfast_Brunch
Almond-Flour-Waffles-Gluten-Free-980012,4,0.5,0.833333333333,0.0,0.666666666667,0.166666666667,0.166666666667,,6,8,,1500,"[almond flour, baking powder, salt, heavy cream, oil, eggs]",Breakfast_Brunch
Almond-Pancakes-989950,3,0.833333333333,0.666666666667,0.0,0.833333333333,0.333333333333,0.166666666667,,6,4,,2100,"[almond meal, almond milk, baking powder, sea salt, flax seed meal, cinnamon]",Breakfast_Brunch
Almond-Pancakes-with-Almond-Breeze-1631862,4,0.166666666667,0.833333333333,0.0,0.833333333333,0.166666666667,0.666666666667,,7,4,,2100,"[large eggs, vanilla extract, honey, almond flour, salt, baking soda, cinnamon]",Breakfast_Brunch
Almond-Poppy-Seed-Waffles-1642252,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0.5,,6,4,,1200,"[waffle mix, milk, vegetable oil, applesauce, almond extract, poppy seeds]",Breakfast_Brunch
Almond-Protein-Pancakes-1635203,4,,,,,,,,4,4,,1200,"[eggs, almond flour, water, coconut oil]",Breakfast_Brunch
Almond-Quinoa-Muffins-with-Cherries_-Apricots-and-Pistachios-1686963,4,0.333333333333,0.5,0.0,0.166666666667,0.166666666667,0.666666666667,2400.0,13,11,600.0,3000,"[unsweetened vanilla almond milk, vanilla extract, quinoa, apricots, cherries, honey, ground cardamom, sea salt, almond butter, fresh ginger, large eggs, egg whites, pistachios]",Breakfast_Brunch
Amazing-Breakfast-Balls-638765,4,,,,,,,,8,16,1200.0,1200,"[pitted dates, almond extract, cacao powder, rolled oats, peanuts, sunflower seeds, apples, flax seeds]",Breakfast_Brunch
Amazing-Vegan-Waffles-1092673,4,,,,,,,900.0,7,9,300.0,1200,"[all-purpose flour, baking powder, salt, vanilla almondmilk, orange juice, vegetable oil, powdered sugar]",Breakfast_Brunch
American-Breakfast-Hash-1686977,4,0.333333333333,0.166666666667,0.166666666667,0.166666666667,0.833333333333,0.166666666667,900.0,14,2,480.0,1380,"[potatoes, onions, florets, mushrooms, sour cream, parsley, scallions, olive oil, oregano, black pepper, crushed red pepper flakes, fat, salt]",Breakfast_Brunch
American-style-Blueberry-Pancakes-1707717,4,0.5,0.166666666667,0.0,0.5,0.166666666667,0.5,,10,4,,1200,"[plain flour, baking powder, sugar, large eggs, arrowroot, milk, butter, salt, fresh blueberries, vegetable oil]",Breakfast_Brunch
